sanction_id,date_implemented,year,month,imposing_country_code,imposing_country,imposing_region,target_country_code,target_country,restriction_type,affected_technology,severity_level,description,source_reference,is_retaliatory,multilateral,status,economic_impact_usd_bn_est,is_synthetic
SC0060,2015-02-21,2015,2,JP,Japan,Asia-Pacific,TW,Taiwan,License_Requirement,Semiconductor_Equipment,2,[Synthetic] License_Requirement on Semiconductor_Equipment – JP targeting TW (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,21.41,1
SC0071,2015-02-21,2015,2,NL,Netherlands,Europe,SA,Saudi Arabia,Technology_Transfer_Ban,Dual_Use_Electronics,4,[Synthetic] Technology_Transfer_Ban on Dual_Use_Electronics – NL targeting SA (2015),Synthetic/Regulatory Pattern Estimate,1,1,Active,37.22,1
SC0076,2015-03-07,2015,3,FR,France,Europe,IR,IR,Tariff,Advanced_Logic_Chip,1,[Synthetic] Tariff on Advanced_Logic_Chip – FR targeting IR (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,9.66,1
SC0045,2015-04-09,2015,4,FR,France,Europe,SA,Saudi Arabia,Technology_Transfer_Ban,Dual_Use_Electronics,3,[Synthetic] Technology_Transfer_Ban on Dual_Use_Electronics – FR targeting SA (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,18.66,1
SC0046,2015-04-14,2015,4,DE,Germany,Europe,RU,RU,Data_Localization,HBM_Memory,4,[Synthetic] Data_Localization on HBM_Memory – DE targeting RU (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,44.97,1
SC0048,2015-04-05,2015,4,DE,Germany,Europe,RU,RU,Entity_Blacklist,Gallium_Germanium,1,[Synthetic] Entity_Blacklist on Gallium_Germanium – DE targeting RU (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,5.71,1
SC0072,2015-04-11,2015,4,FR,France,Europe,IR,IR,Export_Ban,EUV_Lithography,1,[Synthetic] Export_Ban on EUV_Lithography – FR targeting IR (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,6.69,1
SC0053,2015-05-12,2015,5,FR,France,Europe,TW,Taiwan,Data_Localization,AI_Training_Data,5,[Synthetic] Data_Localization on AI_Training_Data – FR targeting TW (2015),Synthetic/Regulatory Pattern Estimate,1,1,Active,38.54,1
SC0070,2015-05-21,2015,5,EU,EU,Europe,SA,Saudi Arabia,Tariff,Advanced_Logic_Chip,2,[Synthetic] Tariff on Advanced_Logic_Chip – EU targeting SA (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,20.78,1
SC0073,2015-05-05,2015,5,US,United States,North America,SA,Saudi Arabia,Technology_Transfer_Ban,Quantum_Computing,1,[Synthetic] Technology_Transfer_Ban on Quantum_Computing – US targeting SA (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,7.29,1
SC0052,2015-06-01,2015,6,FR,France,Europe,SA,Saudi Arabia,License_Requirement,AI_Accelerator,3,[Synthetic] License_Requirement on AI_Accelerator – FR targeting SA (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,3.61,1
SC0056,2015-06-21,2015,6,NL,Netherlands,Europe,IN,India,Tariff,Quantum_Computing,3,[Synthetic] Tariff on Quantum_Computing – NL targeting IN (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,9.96,1
SC0062,2015-06-28,2015,6,KR,South Korea,Asia-Pacific,IN,India,Technology_Transfer_Ban,Gallium_Germanium,5,[Synthetic] Technology_Transfer_Ban on Gallium_Germanium – KR targeting IN (2015),Synthetic/Regulatory Pattern Estimate,1,1,Active,56.75,1
SC0065,2015-06-14,2015,6,DE,Germany,Europe,SA,Saudi Arabia,Tariff,EUV_Lithography,3,[Synthetic] Tariff on EUV_Lithography – DE targeting SA (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,15.13,1
SC0066,2015-06-10,2015,6,FR,France,Europe,TW,Taiwan,Technology_Transfer_Ban,Cloud_AI_Services,1,[Synthetic] Technology_Transfer_Ban on Cloud_AI_Services – FR targeting TW (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,9.6,1
SC0075,2015-06-03,2015,6,DE,Germany,Europe,CN,China,Entity_Blacklist,GPU_High_End,3,[Synthetic] Entity_Blacklist on GPU_High_End – DE targeting CN (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,30.74,1
SC0050,2015-07-04,2015,7,FR,France,Europe,CN,China,Entity_Blacklist,GPU_High_End,2,[Synthetic] Entity_Blacklist on GPU_High_End – FR targeting CN (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,12.18,1
SC0054,2015-07-20,2015,7,DE,Germany,Europe,PK,Pakistan,Tariff,Gallium_Germanium,2,[Synthetic] Tariff on Gallium_Germanium – DE targeting PK (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,22.26,1
SC0055,2015-07-21,2015,7,EU,EU,Europe,IN,India,License_Requirement,AI_Accelerator,1,[Synthetic] License_Requirement on AI_Accelerator – EU targeting IN (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,2.17,1
SC0067,2015-07-26,2015,7,JP,Japan,Asia-Pacific,CN,China,Tariff,Dual_Use_Electronics,2,[Synthetic] Tariff on Dual_Use_Electronics – JP targeting CN (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,5.66,1
SC0068,2015-07-18,2015,7,JP,Japan,Asia-Pacific,AE,United Arab Emirates,License_Requirement,Advanced_Logic_Chip,2,[Synthetic] License_Requirement on Advanced_Logic_Chip – JP targeting AE (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,3.08,1
SC0069,2015-07-08,2015,7,KR,South Korea,Asia-Pacific,RU,RU,Tariff,AI_Accelerator,4,[Synthetic] Tariff on AI_Accelerator – KR targeting RU (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,21.4,1
SC0051,2015-08-24,2015,8,EU,EU,Europe,PK,Pakistan,Data_Localization,Semiconductor_Equipment,3,[Synthetic] Data_Localization on Semiconductor_Equipment – EU targeting PK (2015),Synthetic/Regulatory Pattern Estimate,1,1,Active,8.56,1
SC0059,2015-08-18,2015,8,US,United States,North America,PK,Pakistan,Export_Ban,GPU_High_End,4,[Synthetic] Export_Ban on GPU_High_End – US targeting PK (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,15.85,1
